report_section,report_title,campaign_id,campaign_name,recommended_action,evidence_status,commercial_status,channel,objective,spend,roas,target_roas,estimated_lift_pp,lift_ci_lower_pp,lift_ci_upper_pp,treated_n,treated_conversions,control_n,control_conversions,control_exposure_n
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,1,Retention - Email - Jan 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,Email,Retention,422.03,5.74,1.0,2.59,0.99,4.2,1381,45,150,1,104
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,97,Acquisition - Email - May 2025,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,Email,Acquisition,399.19,2.36,1.0,-0.04,-2.76,2.68,1146,26,130,3,29
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,69,Retention - Email - Dec 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,Email,Retention,381.03,3.64,1.0,0.81,-2.81,4.43,877,29,80,2,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,81,Winback - Email - Feb 2025,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,Email,Winback,343.45,7.45,1.0,3.71,2.6,4.83,1104,41,126,0,15
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,37,Acquisition - Email - Jul 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,Email,Acquisition,330.59,2.16,1.0,0.98,-1.69,3.64,633,14,81,1,0
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,17,Retention - Email - Mar 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,Email,Retention,308.6,10.11,1.0,1.79,-0.15,3.73,1704,57,193,3,128
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,61,Retention - Email - Nov 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,Email,Retention,304.2,16.98,1.0,1.56,-0.43,3.55,2507,102,279,7,184
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,33,Retention - Email - Jun 2024,Re-test and improve measurement,Insufficient evidence,Meets illustrative ROAS target,Email,Retention,289.39,9.56,1.0,-0.23,-2.43,1.98,2035,45,205,5,133
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,73,Acquisition - Email - Jan 2025,Maintain and optimise,Inconclusive lift,Meets illustrative ROAS target,Email,Acquisition,483.81,4.87,1.0,-0.68,-2.82,1.47,2632,79,326,12,235
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,85,Winback - Email - Mar 2025,Maintain and optimise,Inconclusive lift,Meets illustrative ROAS target,Email,Winback,434.79,16.03,1.0,1.79,-0.1,3.67,2993,138,354,10,244
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,101,Acquisition - Email - Jun 2025,Maintain and optimise,Inconclusive lift,Meets illustrative ROAS target,Email,Acquisition,375.07,8.25,1.0,-0.09,-2.1,1.92,3180,102,334,11,232
4.2,WHICH CAMPAIGNS REQUIRE A MANAGEMENT DECISION FIRST?,105,Retention - Email - Jun 2025,Maintain and optimise,Inconclusive lift,Meets illustrative ROAS target,Email,Retention,341.83,17.98,1.0,0.39,-1.73,2.51,3340,148,371,15,248
